meue_name,price,image,info,rank,spicy,calories,protein,sodium,sugars,saturated_fat,Amilk,AChicken,Apork,Abeef,Aegg,Asquid,Atomato,Aclam,Ashrimp,sliced_cheese,shredded_cheese,pickle,jalapeno,whole_shrimp,bacon,tomato,lettuce,onion,hashbrown,garlic_chip,mayo,bulgogi,barbecue,ketchup,diablo,spicy_tomato,cheese,tartar,baconjam,mustard,Pbeef,Pshrimp,Pchicken,Psteak
갈릭불고기와퍼,,,,,0,693,32,841,13,11,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
더블비프불고기버거,,,,,0,527,26,776,10,11,1,0,0,1,1,0,0,0,0,1,0,,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
더블오리지날치즈버거,,,,,0,,,,,,1,0,0,1,,,,,,1,0,,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
롱치킨,,,,,0,615,23,1223,7,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
몬스터와퍼,,,,,1,1013,50,2057,14,19,0,1,1,1,1,0,1,0,0,2,0,0,0,0,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
몬스터X,,,,,1,1010,47,1906,16,20,1,1,1,1,1,0,1,1,0,2,0,0,0,0,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
바비큐치킨버거,,,,,0,476,19,800,8,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
불고기와퍼,,,,,0,690,29,886,16.8,10,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
불고기와퍼 주니어,,,,,0,397,17,548,8.5,5,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
블랙바비큐와퍼,,,,,0,778,36,1140,11.9,14.3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,4,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
블랙바비큐콰트로치즈와퍼,,,,,0,888,42,1412,13.9,21.5,1,0,1,1,1,1,1,0,0,2,1,0,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
비프불고기,,,,,0,,,,,,,,,1,,,,0,0,0,0,,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
비프슈림프,,,,,0,574,24,1165,4.6,8.3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
슈림프버거,,,,,0,439,14,1159,4.1,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
와퍼,,,,,0,619,29,809,10.5,13,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
와퍼 주니어,,,,,0,399,17,570,4.6,8,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
치즈버거,,,,,0,,,,,,1,,,1,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
치즈와퍼,,,,,0,716,33,1288,7.1,16,1,0,0,1,1,0,1,0,0,2,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
치즈와퍼주니어,,,,,0,438,19,771,4.8,10,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
치킨버거,,,,,0,538,18,851,4,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
치킨킹,,,,,1,751,27,1158,9,11,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
치킨킹BLT,,,,,1,821,28,1184,13,12,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
콰트로치즈와퍼,,,,,0,769,40,1051,6.2,20,1,0,0,1,1,0,1,0,0,2,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
콰트로치즈와퍼 주니어,,,,,0,446,21,631,3.1,10,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
통새우 슈림프,,,,,0,459,16,938,7,5,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
통새우와퍼,,,,,1,741,34,984,4.8,15,1,0,0,1,1,0,1,0,1,0,0,0,0,4,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
통새우와퍼 주니어,,,,,1,381,21,522,5,7,1,0,0,1,1,0,1,0,1,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
헬로 디아블로 와퍼,,,,,1,1124,57,1649,30,20,1,0,1,1,1,1,1,0,0,0,0,0,0,0,3,1,1,1,1,0,,0,0,0,1,0,0,0,1,0,2,0,0,0
헬로 릴리트 와퍼,,,,,1,893,37,1675,17,14,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,1,1,1,1,0,,0,0,0,1,0,0,0,0,0,1,0,0,0
헬로 이나리우스,,,,,0,925,37,1487,25,14,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,1,1,1,1,0,,0,0,0,0,0,0,0,1,0,1,0,0,0
