meue_name,price,image,info,spicy,N_calories,N_protein,N_sodium,N_sugars,N_saturated_fat,A_milk,A_Chicken,Apork,A_beef,A_egg,A_squid,A_tomato,A_clam,A_shrimp,I_sliced_cheese,I_shredded_cheese,I_pickle,I_jalapeno,I_whole_shrimp,I_bacon,I_tomato,I_lettuce,I_onion,I_hashbrown,I_garlic_chip,S_mayo,S_bulgogi,S_barbecue,S_ketchup,S_diablo,S_spicy_tomato,S_cheese,S_tartar,S_baconjam,S_mustard,P_beef,P_shrimp,P_chicken,P_steak,R_rank,R_man,R_women,R_yman,R_ywomen,R_oman,R_owomen,R_young,R_old,R_summer,R_winter
갈릭불고기와퍼,7400,Burger/갈릭불고기와퍼.png,갈릭불고기와퍼,0,693,32,841,13,11,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,27,18,13,3,3,2,9,16,4,15,20
더블비프불고기버거,5000,Burger/더블비프불고기버거.png,달콤한 불고기 소스에 더블 패티로 더욱 깊어진 감칠맛!,0,527,26,776,10,11,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,13,1,9,19,8,14,12,10,18,9,24
더블오리지날치즈버거,6500,Burger/더블오리지날치즈버거.png,더블오리지날치즈버거,0,499,29,794,4.6,10.7,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,26,23,11,6,20,11,27,26,9,2,1
롱치킨버거,4700,Burger/롱치킨버거.png,담백한 치킨 패티에 부드러운 마요네즈 소스와 싱싱한 야채가 듬뿍~,0,615,23,1223,7,7,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25,20,6,2,16,16,16,3,13,14,19
몬스터와퍼,9300,Burger/몬스터와퍼.png,"불맛 가득 순쇠고기, 치킨, 베이컨에 화끈한 디아블로 소스의 압도적인 맛",1,1013,50,2057,14,19,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,4,17,15,8,11,24,15,22,11,22,15
몬스터X,10100,Burger/몬스터X.png,"부드러운 호밀 브리오슈 번, 두툼한 스테이크 패티, 디아블로 소스의 압도적인 맛",1,1010,47,1906,16,20,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,24,19,12,26,7,22,8,18,12,13,7
바비큐치킨버거,3700,Burger/바비큐치킨버거.png,진한 바비큐 소스가 가득!,0,476,19,800,8,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,14,21,4,4,26,17,13,24,22,16,12
불고기와퍼,7100,Burger/불고기와퍼.png,불에 직접 구운 순 쇠고기 패티가 들어간 와퍼에 달콤한 불고기 소스까지!,0,690,29,886,16.8,10,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,15,24,10,9,14,23,14,12,27,12,22
불고기와퍼주니어,4700,Burger/불고기와퍼주니어.png,불에 직접 구운 순 쇠고기 패티가 들어간 와퍼주니어에 달콤한 불고기 소스까지!,0,397,17,548,8.5,5,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,16,10,25,23,1,20,3,9,3,24,5
블랙바비큐와퍼,9300,Burger/블랙바비큐와퍼.png,블랙번과 바비큐 소스의 풍미!,0,778,36,1140,11.9,14.3,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,5,6,18,5,4,7,24,4,5,19,9
블랙바비큐콰트로치즈와퍼,9300,Burger/블랙바비큐콰트로치즈와퍼.png,콰트로치즈와퍼가 바비큐소스를 만나다!,0,888,42,1412,13.9,21.5,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17,7,19,10,6,27,25,21,8,11,2
비프불고기버거,4000,Burger/비프불고기버거.png,"달콤한 불고기소스와 100% 순쇠고기 패티의 감칠맛나는 조화, 비프불고기버거세트!",0,366,15,454,8,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,18,9,3,17,15,18,6,27,14,8,16
비프&슈림프버거,7000,Burger/비프&슈림프버거.png,불맛가득 순쇠고기 패티에 새콤달콤 루피 특제소스 듬뿍!,0,574,24,1165,4.6,8.3,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,19,11,27,24,21,12,5,1,20,7,8
슈림프버거,5000,Burger/슈림프버거.png,탱글한 새우패티에 새콤달콤 루피 특제소스 듬뿍!,0,439,14,1159,4.1,5,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20,14,2,12,5,9,4,5,25,10,17
와퍼,7100,Burger/와퍼.png,불에 직접 구운 순 쇠고기 패티에 싱싱한 야채가 한가득~ 버거킹의 대표 메뉴!,0,619,29,809,10.5,13,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,25,7,18,12,8,18,23,19,4,10
와퍼주니어,4700,Burger/와퍼주니어.png,불에 직접 구운 순 쇠고기 패티가 들어간 와퍼의 주니어 버전~ 작지만 꽉 찼다!,0,399,17,570,4.6,8,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,27,16,22,13,1,19,2,26,23,4
치즈버거,3500,Burger/치즈버거.png,"불에 구운 쇠고기 패티와 사르르 치즈까지, 작지만 알차다!",0,386,17,755,3.8,6.9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,21,12,24,7,18,19,20,19,10,17,11
치즈와퍼,7700,Burger/치즈와퍼.png,불에 직접 구운 순 쇠고기 패티가 들어간 와퍼에 고소한 치즈까지!,0,716,33,1288,7.1,16,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,22,22,17,21,25,5,11,7,6,25,18
