meue_name,price,image,info,R_rank,spicy,N_calories,N_protein,N_sodium,N_sugars,N_saturated_fat,A_milk,A_Chicken,Apork,A_beef,A_egg,A_squid,A_tomato,A_clam,A_shrimp
해쉬브라운,1800,Side/해쉬브라운.png,촉촉한 감자에 바삭함은 더했다! 해쉬브라운,1,0,182,1.3,382,0.2,2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
너겟킹 8조각,4400,Side/너겟킹_8조각.png,바삭~ 촉촉~ 한입에 쏙 부드러운 너겟킹!,2,0,294,17,843,0.7,4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
너겟킹 10조각,5500,Side/너겟킹_10조각.png,바삭~ 촉촉~ 한입에 쏙 부드러운 너겟킹!,3,0,368,22,1054,0.9,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
너겟킹 4조각,2200,Side/너겟킹_4조각.png,바삭~ 촉촉~ 한입에 쏙 부드러운 너겟킹!,4,0,147,9,422,0.4,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
21치즈스틱,2500,Side/21치즈스틱.png,21cm의 역대급 사이즈! 진하고 고소한 자연 모짜렐라가 가득한 21치즈스틱,5,0,136,7,271,2,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
어니언링,2400,Side/어니언링.png,더 바삭하게 한 입에 쏙!,6,0,306,5,333,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
바삭킹4조각,5800,Side/바삭킹4조각.png,매콤하게! 바삭하게 튀긴 치킨윙,7,0,544,29,993,3.4,10,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
바삭킹2조각,3000,Side/바삭킹2조각.png,매콤하게! 바삭하게 튀긴 치킨윙,8,0,272,15,497,1.7,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
바삭킹8조각+디아블로소스,11400,Side/바삭킹8조각+디아블로소스.png,매콤하게! 바삭하게 튀긴 치킨윙,9,1,1127,59,2279,14.1,20.1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
바삭킹8조각+스위트칠리소스,11400,Side/바삭킹8조각+스위트칠리소스.png,매콤하게! 바삭하게 튀긴 치킨윙,10,1,1138,59,2191,16.9,20.1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
쉐이킹프라이 구운갈릭,2400,Side/쉐이킹프라이_구운갈릭.png,깊은 풍미가 느껴지는 시즈닝으로 취향 저격!,11,0,292,4,634,0.5,3.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
쉐이킹프라이 스윗어니언,2400,Side/쉐이킹프라이_스윗어니언.png,깊은 풍미가 느껴지는 시즈닝으로 취향 저격!,12,0,297,4,486,1.29,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
쉐이킹프라이 매콤치즈,2400,Side/쉐이킹프라이_매콤치즈.png,깊은 풍미가 느껴지는 시즈닝으로 취향 저격!,13,1,287,4,687,0.6,3.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
크리미모짜볼(10조각),4700,Side/크리미모짜볼(10조각).png,"겉은 바삭~ 속은 부드러운 크림치즈가 쏘옥, 크리미모짜볼!",14,0,395,14,248,9,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
크리미모짜볼(5조각),2600,Side/크리미모짜볼(5조각).png,"겉은 바삭~ 속은 부드러운 크림치즈가 쏘옥, 크리미모짜볼!",15,0,198,7,124,4,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
