이름,알레르기 유발 성분
21치즈스틱,"밀, 대두, 우유, 난류"
너겟킹 10조각,"밀, 대두, 닭고기, 쇠고기"
너겟킹 8조각,"밀, 대두, 닭고기"
너겟킹 4조각,"밀, 대두, 닭고기, 쇠고기"
어니언링,"밀, 대두"
치즈프라이,"대두, 우유"
코울슬로,난류
콘샐러드,대두
해쉬브라운,대두
구운갈릭 시즈닝,밀
디아블로소스,토마토
매콤치즈 시즈닝,대두
바삭킹 2조각,"밀, 대두, 닭고기, 쇠고기"
바삭킹 4조각,"밀, 대두, 닭고기, 쇠고기"
바삭킹 8조각 + 디아블로소스,"밀, 대두, 토마토, 닭고기, 쇠고기"
바삭킹 8조각 + 스위트칠리소스,"밀, 대두, 닭고기, 쇠고기"
쉐이킹프라이 구운갈릭,"밀, 대두, 우유, 토마토"
쉐이킹프라이 매콤치즈,"대두, 우유"
쉐이킹프라이 스윗어니언,"대두, 우유"
스위트칠리소스,"대두, 토마토"
스윗어니언 시즈닝,우유
코코넛슈림프 3조각 + 스위트칠리소스,"밀, 대두, 난류, 새우"
코코넛슈림프 6조각 + 스위트칠리소스,"밀, 대두, 난류, 새우"
코코넛슈림프 9조각 + 스위트칠리소스,"밀, 대두, 난류, 새우"
크리미모짜볼 10조각,"밀, 대두, 우유, 난류"
크리미모짜볼 5조각,"밀, 대두, 우유, 난류"
프렌치프라이(L),대두
프렌치프라이(R),대두
