이름,중량,열량,단백질,나트륨,당류,포화지방,카페인,단백질 백뷴율,나트륨 백분율,포화지방 백분율
헬로 디아블로 와퍼,449,1124,57,1649,30,20,0,103,82,134
헬로 이나리우스 와퍼,364,925,37,1487,25,14,0,68,74,93
헬로 릴리트 와퍼,364,893,37,1675,17,14,0,67,84,91
치킨킹BLT ,299,821,28,1184,13,12,0,50,59,83
치킨킹,250,751,27,1158,9,11,0,48,58,72
더블비프불고기버거 ,186,527,26,776,10,11,0,48,39,74
BLT오믈렛킹모닝,210,567,19,921,6,10,0,34,46,67
오믈렛킹모닝,172,531,16,819,4,9,0,29,41,62
블랙바비큐콰트로치즈와퍼,329,888,42,1412,13.9,21.5,0,75,71,143
블랙바비큐와퍼,293,778,36,1140,11.9,14.3,0,66,57,95
몬스터와퍼,410,1013,50,2057,14,19,0,91,103,124
몬스터X,398,1010,47,1906,16,20,0,85,95,136
통새우와퍼,328,741,34,984,4.8,15,0,63,49,99
갈릭불고기와퍼 ,299,693,32,841,13,11,0,58,42,73
치즈와퍼,303,716,33,1288,7.1,16,0,59,64,108
콰트로치즈와퍼,309,769,40,1051,6.2,20,0,73,53,131
와퍼,278,619,29,809,10.5,13,0,53,40,84
불고기와퍼,301,690,29,886,16.8,10,0,52,44,69
통새우와퍼주니어,162,381,21,522,5,7,0,37,26,49
콰트로치즈와퍼주니어 ,173,446,21,631,3.1,10,0,39,32,64
치즈와퍼주니어,170,438,19,771,4.8,10,0,35,39,65
와퍼주니어,158,399,17,570,4.6,8,0,32,29,51
불고기와퍼주니어,164,397,17,548,8.5,5,0,32,27,36
비프&슈림프버거,244,574,24,1165,4.6,8.3,0,44,58,55
통새우슈림프버거,189,459,16,938,7,5,0,29,47,34
슈림프버거,173,439,14,1159,4.1,5,0,26,58,34
롱치킨버거 ,204,615,23,1223,7,7,0,41,61,45
바비큐치킨버거 ,168,476,19,800,8,6,0,34,40,38
치킨버거 ,178,538,18,851,4,7,0,33,43,47
