이름,중량,열량,단백질,나트륨,당류,포화지방,카페인,단백질 백뷴율,나트륨 백분율,포화지방 백분율
21치즈스틱,49,136,7,271,2,2,0,12,14,16
너겟킹 10조각,165,368,22,1054,0.9,5,0,39,53,35
너겟킹 8조각,132,294,17,843,0.7,4,0,31,42,28
너겟킹 4조각,66,147,9,422,0.4,2,0,16,21,14
어니언링,96,306,5,333,6,3,0,8,17,21
치즈프라이,139,440,12,447,1.8,8,0,21,22,51
코울슬로,95,130,1,218,13.2,0.9,0,2,11,5.7
콘샐러드,105,189,2,226,6.3,1,0,4,11,9
해쉬브라운,58,182,1.3,382,0.2,2.5,0,2,19,17
구운갈릭 시즈닝,3,10,0,134,1.8,0,0,0,7,0
디아블로소스,25,39,0,293,7.4,0,0,0,15,0
매콤치즈 시즈닝,3,9,0,224,1.3,0,0,0,11,0
바삭킹 2조각,99,272,15,497,1.7,5,0,27,25,34.4
바삭킹 4조각,198,544,29,993,3.4,10,0,54,50,66.9
바삭킹 8조각 + 디아블로소스,421,1127,59,2279,14.1,20.1,0,108,114,133.9
바삭킹 8조각 + 스위트칠리소스,421,1138,59,2191,16.9,20.1,0,107,109,199.8
쉐이킹프라이 구운갈릭,105,292,4,634,0.5,3.1,0,7,32,21
쉐이킹프라이 매콤치즈,105,287,4,687,0.6,3.1,0,7,34,21
쉐이킹프라이 스윗어니언,105,297,4,486,1.29,3,0,8,24,20
스위트칠리소스,25,50,0,205,10.2,0,0,0,10,0
스윗어니언 시즈닝,3,10,0,130,1.9,0,0,0,6,0
코코넛슈림프 3조각 + 스위트칠리소스,82,131,6,382,11.9,0.9,0,11,19,5.7
코코넛슈림프 6조각 + 스위트칠리소스,139,212,12,558,13.6,1.7,0,22,28,11.4
코코넛슈림프 9조각 + 스위트칠리소스,196,293,18,736,15.3,2.6,0,33,37,17.1
크리미모짜볼 10조각,140,395,14,248,9,1,0,25,12,9
크리미모짜볼 5조각,70,198,7,124,4,1,0,13,6,4
프렌치프라이(L),135,377,5,432,0.4,4,0,8,22,27
프렌치프라이®,102,285,4,326,0.3,3,0,6,16,21
