이름,중량,열량,단백질,나트륨,당류,포화지방,카페인,단백질 백뷴율,나트륨 백분율,포화지방 백분율
헬로 디아블로 와퍼 세트,927,1559,60,1990,70,23,0,109,100,154
헬로 이나리우스 와퍼 세트,842,1360,41,1829,64,17,0,74,91,113
헬로 릴리트 와퍼 세트,842,1328,41,2017,56,17,0,74,101,112
치킨킹BLT 세트,777,1256,31,1525,53,16,0,57,76,104
치킨킹 세트,728,1186,30,1499,48,14,0,55,75,92
더블비프불고기버거 세트,664,962,30,1117,49,14,0,54,56,95
BLT오믈렛킹모닝 콤보,437,573,19,921,6,10,85,34,46,67
오믈렛킹모닝 콤보,399,537,16,819,4,9,85,29,41,62
블랙바비큐콰트로치즈와퍼 세트,807,1323,46,1762,53.3,24.5,0,81,88,164
블랙바비큐와퍼 세트,771,1213,40,1481,51.3,17.3,0,72,74,116
몬스터와퍼 세트,888,1448,53,2399,54,22,0,97,120,145
몬스터X 세트,876,445,50,2247,55,24,0,92,112,157
통새우와퍼 세트,806,1176,38,1325,44.2,18,0,69,66,120
갈릭불고기와퍼 세트,777,1128,36,1182,53,14,0,65,59,94
치즈와퍼 세트,781,1151,37,1629,46.5,19,0,65,81,129
콰트로치즈와퍼 세트,787,1204,44,1392,45.6,23,0,79,70,152
와퍼 세트,756,1054,33,1150,49.9,16,0,59,57,105
불고기와퍼 세트,779,1125,33,1227,56.2,13,0,58,61,90
통새우와퍼주니어 세트,640,816,25,863,44.4,10,0,43,43,70
콰트로치즈와퍼주니어 세트,651,881,25,972,42.5,13,0,45,49,85
치즈와퍼주니어 세트,648,873,23,1112,44.2,13,0,41,56,86
와퍼주니어 세트,636,834,21,911,44,11,0,38,46,72
불고기와퍼주니어 세트,642,832,21,889,47.9,8,0,38,44,57
비프&슈림프버거 세트,722,1009,28,1506,44,11,0,50,75,76
통새우슈림프버거 세트,667,894,19,1279,46,8,0,35,64,55
슈림프버거 세트,651,874,18,1500,43,8,0,32,75,51
롱치킨버거 세트,682,1050,26,1565,46,10,0,47,78,65
바비큐치킨버거 세트,646,911,22,1141,47,9,0,40,57,58
치킨버거 세트,656,973,22,1192,43,10,0,40,60,67
