이름,중량,열량,단백질,나트륨,당류,포화지방,카페인,단백질 백뷴율,나트륨 백분율,포화지방 백분율
제로슈가에이드 레드애플맛제로,330,40,0.2,77,0,0,0,0.2,4,0
제로슈가에이드 레몬라임맛제로,330,39,0.1,44,0,0,0,0.1,2,0
미닛메이드 오렌지,350,172,0,11,36,0,0,0,1,0
순수(미레랄워터),0,0,0,0,0,0,0,0,0,0
아이스초코,330,253,3,75,31,4.3,0,5,4,28.4
핫초코,227,210,2,86,23,4,0,5,4,25
복숭아 컵,198,140,2,10,29,0,0,4,1,0
스프라이트(L),538,237,0,32,60.2,0,0,0,2,0
스프라이트(R),376,165,0,23,42.1,0,0,0,1,0
스프라이트 제로(L),538,0,0,91,0,0,0,0,5,0
스프라이트 제로(R) ,376,0,0,64,0,0,0,0,3,0
아메리카노,227,6,0,0,0,0,85.3,0,0,0
아이스아메리카노,330,5,0,0,0,0,124,0,0,0
코카콜라(L),538,215,0,22,55.9,0,0,0,1,0
코카콜라(R),376,150,0,15,39.1,0,0,0,1,0
코카콜라 제로(L),538,0,0,43,0,0,0,0,2,0
코카콜라 제로(R),376,0,0,30,0,0,0,0,2,0
파인애플 컵,198,125,1,5,26,0,0,0.1,0,0
